S.No,Product Name,User Name,Rating,Reviwe Date,Reviwe Head,Product Reviwe
1,poco ,RAM KUMAR,1,2 months ago,Horrible,big cheating mobile exange very bad experiance
2,poco ,NITIN YOGI,5,1 month ago,Terrific,Perfect condition
3,poco ,Faizan Ahmad ,4,2 months ago,Nice product,Camera nicely see 😁🤗🤠
4,poco ,Moin Khan,5,2 months ago,Simply awesome,Justify with the price Good mobile for basic usage display and back is average
5,poco ,Habiba Khatun,5,2 months ago,Great product,Good
6,poco ,PREM PRAKASH,5,2 months ago,Classy product,"For this price, the phone is good, not for gaming. But you use simple game"
7,poco ,Flipkart Customer,5,2 months ago,Must buy!,Best quality of products
8,poco ,Vetri Kumaran,3,1 month ago,Good,Next mobile 📲
9,poco ,Shubham Kashyap ,5,2 months ago,Classy product,Osm
10,poco ,Kapil Kashyap,5,2 months ago,Highly recommended,Nice product nice Phone 📱
11,poco ,No name,No rating, Date Not avilable, No comment Head,No comment
