S.No,Product Name,User Name,Rating,Reviwe Date,Reviwe Head,Product Reviwe
1,vivo y12,Manoj achar Manoj,5,"Jul, 2020",Mind-blowing purchase,Amazing
2,vivo y12,Datta Shinde,4,"Aug, 2020",Good quality product,Nice
3,vivo y12,Flipkart Customer,5,"Nov, 2019",Mind-blowing purchase,nice camera ready 5000amh battry
4,vivo y12,Vittal Katennavar,3,"Jan, 2020",Nice,nice product
5,vivo y12,Rupesh Mandal,5,"Jun, 2020",Terrific purchase,Very nice
6,vivo y12,Flipkart Customer,4,"Jul, 2019",Wonderful,A bit heavy!! I think the reason is its 5000 mAh battery...overall good!!
7,vivo y12,Abir  chakraborty,5,"Jun, 2020",Brilliant,Ya phone is good everything is ok  delivery in time
8,vivo y12,RAVI SINGH,5,"Jun, 2020",Awesome,Excellent battery backup good camera finger lock super fast  & facelock also fast value of money Very nice product. Thanks  FLIPKART....
9,vivo y12,Arun  Paswan ,5,"Jun, 2020",Brilliant,It is nice product I like it so much camera is also nice and battery is so powerful it is very nice mobile I like it so much
10,vivo y12,Amarjit Singh,4,"Jul, 2019",Really Nice,Good Product
11,vivo y12,No name,No rating, Date Not avilable, No comment Head,No comment
